INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 2327, 40, [1], [1]
INFO - L,Iapp,pre,y: 2222, 40, [1], [1]
INFO - L,Iapp,pre,y: 1560, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 1188, 40, [1], [1]
INFO - L,Iapp,pre,y: 1799, 40, [1], [1]
INFO - L,Iapp,pre,y: 3385, 40, [1], [1]
INFO - L,Iapp,pre,y: 3528, 40, [1], [1]
INFO - L,Iapp,pre,y: 4010, 40, [1], [1]
INFO - L,Iapp,pre,y: 3364, 40, [1], [1]
INFO - L,Iapp,pre,y: 5855, 40, [1], [1]
INFO - L,Iapp,pre,y: 5092, 40, [1], [1]
INFO - L,Iapp,pre,y: 7158, 40, [1], [1]
INFO - L,Iapp,pre,y: 7875, 40, [1], [1]
INFO - L,Iapp,pre,y: 38700, 40, [1], [1]
INFO - L,Iapp,pre,y: 46109, 40, [1], [1]
INFO - L,Iapp,pre,y: 56072, 40, [1], [0]
INFO - L,Iapp,pre,y: 56072, 40, [1], [0]
INFO - L,Iapp,pre,y: 75744, 40, [1], [0]
INFO - L,Iapp,pre,y: 113477, 40, [1], [0]
INFO - L,Iapp,pre,y: 187872, 40, [1], [0]
INFO - L,Iapp,pre,y: 354211, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 635013, 300.0, [0], [0]
INFO - L,Iapp,pre,y: 801644, 300.0, [0], [0]
INFO - L,Iapp,pre,y: 333121, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 154972, 40, [1], [0]
INFO - L,Iapp,pre,y: 280747, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 381209, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 129389, 40, [1], [0]
INFO - L,Iapp,pre,y: 135585, 40, [1], [0]
INFO - L,Iapp,pre,y: 173709, 40, [1], [0]
INFO - L,Iapp,pre,y: 101499, 40, [1], [0]
INFO - L,Iapp,pre,y: 146741, 40, [1], [0]
INFO - L,Iapp,pre,y: 333090, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 35517, 40, [1], [0]
INFO - L,Iapp,pre,y: 50427, 40, [1], [0]
INFO - L,Iapp,pre,y: 100035, 40, [1], [0]
INFO - L,Iapp,pre,y: 217620, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 216527, 300.0, [1], [0]
INFO - L,Iapp,pre,y: 29157, 40, [1], [1]
INFO - L,Iapp,pre,y: 37793, 40, [1], [1]
INFO - L,Iapp,pre,y: 71167, 40, [1], [1]
INFO - L,Iapp,pre,y: 178280, 40, [1], [1]
INFO - L,Iapp,pre,y: 171159, 40, [1], [1]
INFO - L,Iapp,pre,y: 42813, 40, [1], [1]
INFO - L,Iapp,pre,y: 85173, 40, [1], [1]
INFO - L,Iapp,pre,y: 285655, 300.0, [1], [1]
INFO - L,Iapp,pre,y: 50820, 40, [1], [1]
INFO - L,Iapp,pre,y: 91739, 40, [1], [1]
INFO - L,Iapp,pre,y: 276046, 300.0, [1], [1]
INFO - L,Iapp,pre,y: 88392, 40, [1], [1]
INFO - L,Iapp,pre,y: 229518, 300.0, [1], [1]
INFO - L,Iapp,pre,y: 9010, 40, [1], [1]
INFO - L,Iapp,pre,y: 76727, 40, [1], [1]
INFO - L,Iapp,pre,y: 18270, 40, [1], [1]
INFO - L,Iapp,pre,y: 25301, 40, [1], [1]
INFO - L,Iapp,pre,y: 53835, 40, [1], [1]
INFO - L,Iapp,pre,y: 146505, 40, [1], [1]
INFO - L,Iapp,pre,y: 3015, 40, [1], [1]
INFO - L,Iapp,pre,y: 2390, 40, [1], [1]
INFO - L,Iapp,pre,y: 2728, 40, [1], [1]
INFO - L,Iapp,pre,y: 6102, 40, [1], [1]
INFO - L,Iapp,pre,y: 5458, 40, [1], [1]
INFO - L,Iapp,pre,y: 7089, 40, [1], [1]
INFO - L,Iapp,pre,y: 10483, 40, [1], [1]
INFO - L,Iapp,pre,y: 10827, 40, [1], [1]
INFO - L,Iapp,pre,y: 14378, 40, [1], [1]
INFO - L,Iapp,pre,y: 17810, 40, [1], [1]
INFO - L,Iapp,pre,y: 24555, 40, [1], [1]
INFO - L,Iapp,pre,y: 34565, 40, [1], [1]
INFO - L,Iapp,pre,y: 57092, 40, [1], [1]
INFO - L,Iapp,pre,y: 138227, 40, [1], [1]
INFO - L,Iapp,pre,y: 204104, 300.0, [1], [1]
INFO - L,Iapp,pre,y: 10120, 40, [1], [1]
INFO - L,Iapp,pre,y: 12337, 40, [1], [1]
INFO - L,Iapp,pre,y: 14306, 40, [1], [1]
INFO - L,Iapp,pre,y: 15754, 40, [1], [1]
INFO - L,Iapp,pre,y: 20076, 40, [1], [1]
INFO - L,Iapp,pre,y: 23484, 40, [1], [1]
INFO - L,Iapp,pre,y: 35193, 40, [1], [1]
INFO - L,Iapp,pre,y: 60440, 40, [1], [1]
INFO - L,Iapp,pre,y: 123885, 40, [1], [1]
INFO - L,Iapp,pre,y: 348554, 300.0, [1], [1]
INFO - L,Iapp,pre,y: 25020, 40, [1], [1]
INFO - L,Iapp,pre,y: 35332, 40, [1], [1]
INFO - L,Iapp,pre,y: 60247, 40, [1], [1]
INFO - L,Iapp,pre,y: 140448, 40, [1], [1]
INFO - L,Iapp,pre,y: 173965, 40, [1], [1]
INFO - L,Iapp,pre,y: 10653, 40, [1], [1]
INFO - L,Iapp,pre,y: 12648, 40, [1], [1]
INFO - L,Iapp,pre,y: 18800, 40, [1], [1]
INFO - L,Iapp,pre,y: 34338, 40, [1], [1]
INFO - L,Iapp,pre,y: 58548, 40, [1], [1]
INFO - L,Iapp,pre,y: 134500, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 0, 40, [1], [1]
INFO - L,Iapp,pre,y: 5925, 40, [1], [1]
INFO - L,Iapp,pre,y: 46546, 40, [1], [0]
INFO - L,Iapp,pre,y: 66030, 40, [1], [0]
INFO - L,Iapp,pre,y: 128483, 40, [1], [0]
